"問題id","問題","選択肢1","選択肢2","選択肢3","選択肢4","解説"
"1","平均寿命で正しいのはどれ?","0歳の平均余命である","0歳の平均余命である","60歳の平均余命である","死亡者の平均年齢である","平均寿命は産まれたばかりの人が平均して何年生きられるかを表している。"
"2","2018年の日本人女性の平均寿命はどれ？","87.32歳","72.32歳","77.32歳","82.32歳","男性は81.25歳。女性は世界で2位、男性は世界で3位である。男女の世界1位は香港。"
"3","2018年の平均世帯人数はどれ？","2.44人","1.44人","3.44人","4.44人","一人暮らしの割合は14.5%、核家族世帯(夫婦およびその子供のみの世帯)は57.9％"
"4","2017年、20歳以上の男性における喫煙習慣者の割合に最も近いのはどれ？","30%","10%","20%","40%","男性は29.4%、女性は7.2%。ピークは1966年で、男性は83.7%が喫煙していた。"
"5","2016年、通院者率が男女とも最も高いのはどれ？","高血圧症","腰痛症","糖尿病","眼の病気","高血圧以外はおよそ20人に1人が通院しているが、高血圧は10人に1人が通院している。"
"6","大動脈に血液を送り出す部位はどれ？","左心室","右心室","左心房","右心房","左心室→大動脈→大静脈→右心房→右心室→肺動脈→肺静脈→左心房  この流れで全身に血液が循環する。"
"7","免疫機能に関与する細胞はどれ？","白血球","血小板","網赤血球","成熟赤血球","血小板は止血機能、赤血球は酸素運搬機能。網赤血球は成長する前の赤血球を表す。"
"8","大腸で吸収されるのはどれ？","水分","脂質","タンパク質","糖質","脂質、糖質、タンパク質全て小腸で吸収される。水分もほとんど小腸で吸収されるが、大腸でも10%程度吸収される。大腸は1.5m程度あり、そこでゆっくりと水分を吸収することで便を水溶から固形にする役割がある。"
"9","胆汁の作用はどれ？","脂肪の乳化","殺菌","タンパク質の分解","炭水化物の分解","胆汁は肝臓で作られ、胆嚢に蓄積され、食事の時に小腸に送られる。脂肪が乳化されると、膵臓からでるリパーゼの働きにより、小腸で吸収されやすくなる。"
"10","球関節はどれ?","肩関節","膝関節","下橈尺関節","肘関節","関節とは骨と骨が連結する部分にあたる。上腕の骨と、肩甲骨はそれぞれ半球のように窪んでいるため、広く動かすことが出来る。腕を回すことができるのも肩関節が球関節であるおかげである。膝関節や肘関節は蝶番関節といわれ、曲げ伸ばしが主な機能になる。下橈尺関節は手の関節を内側に向けたり、外側に向けることができる車軸関節といわれる。"
"11","医療保険はどれ？","国民健康保険","介護保険","雇用保険","厚生年金保険","日本の国民皆保険とは、国民全員が公的な医療保険に加入することをいう。国民健康保険は市町村が運営、自営業や無職の人が加入する。"
"12","国民健康保険に加入する30歳男性本人の自己負担割合は？","3割","なし","1割","2割","65歳以下の場合医療保険加入者の自己負担は3割となる。高齢者は所得、自治体によって割合が異なる場合がある。生活保護受給者は自己負担なしとなる。"
"13","医療保険の給付の対象となるのは？","疾病の診察","レーシック手術","健康診断
健康診断","美容整形","給付の対象とならないものは自己負担であり、10割全ての料金を支払う必要がある。"
"14","平成29年の国民医療費はどれ？","約40兆円","約4兆円","約4000億円","約400兆円","43兆円であり、人口一人当たり33万2000円となる。"
"15","国民医療費に含まれる費用はどれ？","入院時の食事","人間ドック","正常な分娩","予防接種","含まれないものは全て自己負担となる。入院中の食事は1食460円と医療保険制度で決められている。"
"16","健康な成人の体重における水分の割合は？","60%","20%","40%","80%","体重70kgの場合42リットルの水分が体内にある。新生児だと80%が水分を占める一方、高齢者になると50%となり脱水になりやすいとされる。"
"17","体温調節中枢はどれ？","視床下部","延髄","小脳","橋","皮膚などの温度受容器で感じた温度を、視床下部で設定された温度と比較し発汗したり、体を震えさせて設定された温度に合わせる。小脳は体のバランスを調整する。延髄は呼吸や循環など生命維持に必須の神経が存在する。"
"18","交感神経の緊張状態はどれ？","抹消血管の収縮","瞳孔の収縮","気管支の収縮","心拍数の減少","交感神経が緊張すると、激しい運動の直後や、緊張している状態の中にあるような体の状態になると例えられる。抹消血管が収縮することで血圧が上昇する。逆にリラックスすると副交感神経が働き、正解以外の3つの選択肢の状態になる。"
"19","正常な胃液のpHはどれ？","pH1〜2","pH4〜5","pH7〜8","pH10〜11","人間の体のpH7.4であるのに対し、胃液は強い酸性である。この酸性によって食物を殺菌、消化する。なお胃自体が胃液で溶けないのは、胃の内側が粘液が覆っているから。"
"20","脂質1gが体内で代謝されたときに生じるエネルギー量は？","9kcal","4kcal","14kcal","19kcal","炭水化物、タンパク質は1g代謝されると4kcalとなる。"
"21","胸の痛みを訴える病気はどれ？","急性心筋梗塞","腎結石","髄膜炎","メニエール病","急性心筋梗塞は一般的に激しい胸の痛みを訴える。（背部など広い範囲の痛みを訴えることもある）腎結石は背部、髄膜炎は頭痛と首の痛みを訴える。メニエール病は頭痛やめまいを引き起こす。"
"22","抑うつ状態で見られるのはどれ？","無気力","せん妄","徘徊","幻覚","抑うつ状態はうつ病ではないものの、気分が落ち込んでいる状態を指す。ちなみにせん妄は高齢者の入院や手術後に多く見られ、注意力の低下や、今いる場所がわからなくなるなどの症状を指す。"
"23","貧血とは、抹消血液中の何が不足することを言う？","ヘモグロビン濃度","アルブミン濃度","血小板数","血漿量","ヘモグロビンは血液の中で酸素を運ぶ機能をもつため、貧血となると体内が酸欠状態になり、疲れやめまい、動悸や息切れを起こす。アルブミン濃度は栄養状態を、血小板数は血の固まるスピードを表す。"
"24","鮮紅色(鮮やかな赤色)の下血が見られた時の出血部位で正しいのは？","直腸","胃","食道","十二指腸","直腸は肛門と近いため、血の色がそのままでる。他の3つは肛門と遠いため、その間に酸素と結びつくことで暗い赤色となる。"
